filePath;Package Name;Class Name;TLOC;TASSERT;TCM;Seuil dépassé?
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\CategoryLineAnnotationTest.java;org.jfree.chart.annotations;CategoryLineAnnotationTest;160;27;5,93;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\CategoryTextAnnotationTest.java;org.jfree.chart.annotations;CategoryTextAnnotationTest;114;14;8,14;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\TextAnnotationTest.java;org.jfree.chart.annotations;TextAnnotationTest;154;16;9,63;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\XYBoxAnnotationTest.java;org.jfree.chart.annotations;XYBoxAnnotationTest;198;22;9,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\XYDrawableAnnotationTest.java;org.jfree.chart.annotations;XYDrawableAnnotationTest;176;18;9,78;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\XYLineAnnotationTest.java;org.jfree.chart.annotations;XYLineAnnotationTest;181;33;5,48;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\XYPolygonAnnotationTest.java;org.jfree.chart.annotations;XYPolygonAnnotationTest;145;17;8,53;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\XYShapeAnnotationTest.java;org.jfree.chart.annotations;XYShapeAnnotationTest;153;17;9,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\XYTitleAnnotationTest.java;org.jfree.chart.annotations;XYTitleAnnotationTest;142;14;10,14;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\api\RectangleAlignmentTest.java;org.jfree.chart.api;RectangleAlignmentTest;87;13;6,69;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\AreaChartTest.java;org.jfree.chart;AreaChartTest;165;10;16,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\AxisLocationTest.java;org.jfree.chart.axis;AxisLocationTest;79;10;7,90;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\AxisSpaceTest.java;org.jfree.chart.axis;AxisSpaceTest;96;14;6,86;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\CategoryAnchorTest.java;org.jfree.chart.axis;CategoryAnchorTest;77;9;8,56;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\CategoryLabelPositionsTest.java;org.jfree.chart.axis;CategoryLabelPositionsTest;161;12;13,42;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\CategoryLabelPositionTest.java;org.jfree.chart.axis;CategoryLabelPositionTest;132;17;7,76;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\CategoryLabelWidthTypeTest.java;org.jfree.chart.axis;CategoryLabelWidthTypeTest;76;6;12,67;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\CategoryTickTest.java;org.jfree.chart.axis;CategoryTickTest;127;17;7,47;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\CyclicNumberAxisTest.java;org.jfree.chart.axis;CyclicNumberAxisTest;116;19;6,11;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\DateTickMarkPositionTest.java;org.jfree.chart.axis;DateTickMarkPositionTest;78;10;7,80;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\DateTickTest.java;org.jfree.chart.axis;DateTickTest;122;19;6,42;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\DateTickUnitTest.java;org.jfree.chart.axis;DateTickUnitTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\ExtendedCategoryAxisTest.java;org.jfree.chart.axis;ExtendedCategoryAxisTest;133;24;5,54;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\LogarithmicAxisTest.java;org.jfree.chart.axis;LogarithmicAxisTest;196;15;13,07;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\LogAxisTest.java;org.jfree.chart.axis;LogAxisTest;252;35;7,20;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\MarkerAxisBandTest.java;org.jfree.chart.axis;MarkerAxisBandTest;98;14;7,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\ModuloAxisTest.java;org.jfree.chart.axis;ModuloAxisTest;90;9;10,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\MonthDateFormatTest.java;org.jfree.chart.axis;MonthDateFormatTest;124;18;6,89;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\NumberTickUnitTest.java;org.jfree.chart.axis;NumberTickUnitTest;91;9;10,11;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\PeriodAxisLabelInfoTest.java;org.jfree.chart.axis;PeriodAxisLabelInfoTest;169;26;6,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\PeriodAxisTest.java;org.jfree.chart.axis;PeriodAxisTest;252;46;5,48;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\QuarterDateFormatTest.java;org.jfree.chart.axis;QuarterDateFormatTest;112;14;8,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\StandardTickUnitSourceTest.java;org.jfree.chart.axis;StandardTickUnitSourceTest;63;4;15,75;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\SubCategoryAxisTest.java;org.jfree.chart.axis;SubCategoryAxisTest;133;15;8,87;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\SymbolAxisTest.java;org.jfree.chart.axis;SymbolAxisTest;97;16;6,06;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\TickUnitsTest.java;org.jfree.chart.axis;TickUnitsTest;80;6;13,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\BarChartTest.java;org.jfree.chart;BarChartTest;162;6;27,00;true
