filePath;Package Name;Class Name;TLOC;TASSERT;TCM
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\ExtendedCategoryAxisTest.java;org.jfree.chart.axis;ExtendedCategoryAxisTest;133;24;5,54
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\LogarithmicAxisTest.java;org.jfree.chart.axis;LogarithmicAxisTest;196;15;13,07
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\LogAxisTest.java;org.jfree.chart.axis;LogAxisTest;252;35;7,20
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\MarkerAxisBandTest.java;org.jfree.chart.axis;MarkerAxisBandTest;98;14;7,00
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\ModuloAxisTest.java;org.jfree.chart.axis;ModuloAxisTest;90;9;10,00
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\MonthDateFormatTest.java;org.jfree.chart.axis;MonthDateFormatTest;124;18;6,89
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\NumberAxisTest.java;org.jfree.chart.axis;NumberAxisTest;305;61;5,00
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\NumberTickUnitTest.java;org.jfree.chart.axis;NumberTickUnitTest;91;9;10,11
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\PeriodAxisLabelInfoTest.java;org.jfree.chart.axis;PeriodAxisLabelInfoTest;169;26;6,50
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\PeriodAxisTest.java;org.jfree.chart.axis;PeriodAxisTest;252;46;5,48
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\QuarterDateFormatTest.java;org.jfree.chart.axis;QuarterDateFormatTest;112;14;8,00
